Adószám,Alapítás éve,Létszám,Nettó árbevétel
57702698-1-24,2021,,5930000
24168247-2-41,2012,,162530000
13287065-2-41,2004,30,1520300000
21902282-1-42,2003,,11370000
14872925-2-43,2009,813,21871920000
23179794-2-41,2011,19,825580000
25010903-2-18,2014,13,1148690000
11387729-2-43,1996,30,2291020000
25584864-2-44,2016,689,35783100000
19020848-2-44,1989,,19912040000
23886490-2-43,2012,3,4310000
23584497-2-41,2011,137,6449230000
12385184-2-41,1998,17,169080000
15833167-2-41,2015,509,
13324223-4-44,2004,,181780000000
32000975-2-05,2022,3,207830000
27958896-2-41,2020,12,1986580000
15735636-2-41,1990,1,
15815563-1-41,2013,72,
13484705-2-04,2005,2,62630000
15300076-2-41,1983,523,
23537646-2-42,2011,2,87730000
14871632-2-03,2009,21,1651120000
23745025-2-41,2011,7,489180000
15321202-2-42,1985,584,
15722720-2-51,1999,,
10834730-2-44,1992,8,30445000000
23051423-1-42,2010,,1300000
13403740-2-41,2004,71,1131480000
12033791-2-42,1995,19,4809850000
18055342-2-42,1994,841,
18195682-2-42,2007,,470000
11674199-2-44,2009,93,50856530000
15775883-2-41,2010,805,
25134270-2-20,2014,120,3613490000
23982273-2-42,2012,77,2125920000
20613491-2-41,1999,3,52500000
19818719-2-41,1979,,
32930212-2-13,2025,18,
25119064-2-15,2015,13,981040000
13320690-2-43,2004,1,5550000
10941362-2-44,1994,3380,85428000000
27714933-2-43,2021,732,19054510000
23358005-2-43,2011,8,99190000
25333572-2-06,2015,37,1132010000
10195664-4-44,1986,-,627954000000
13798857-2-02,2006,3,110640000
18292301-2-08,2012,135,
26372185-2-19,2018,416,23029630000
10686506-2-44,1991,3885,234132000000
13696164-2-02,2006,1,12860000
22779229-2-41,2010,25,618180000
27973356-2-43,2020,8,416560000
26693075-2-44,2019,253,57119230000
23376458-2-41,2011,4,223250000
22690238-1-19,2010,1,8700000
25114681-2-44,2014,1689,82534850000
19310321-2-19,2021,,
20758444-2-51,2009,358,700750000
14114113-2-08,2007,23,1677370000
15795719-4-42,2012,,
18728907-1-42,2015,13,1430000
12201521-2-42,1996,61,1656440000
26189905-2-41,2017,37,13142530000
12486807-2-42,2000,1,75270000
12414682-2-43,2010,11,80870000
24711199-2-41,2013,17,2154870000
12165814-2-44,1996,1114,26294180000
19017097-1-42,1990,31,
13812203-2-41,2006,93,3038060000
11146797-2-09,1993,50,826530000
11713634-2-43,2009,,
13933735-2-43,2007,5,967820000
14465990-2-42,2008,1,16450000
12188224-2-43,1996,5,130790000
19722083-2-42,1983,72,586250000
18091715-4-44,1998,,
10401127-2-17,1990,374,15991040000
24118716-2-19,2012,69,3747000000
19308698-2-10,2021,951,
19253268-2-42,2020,673,
15848398-2-41,2023,1089,
14605749-2-44,2008,6288,8576000000
13535564-2-41,2005,3,85380000
11837853-2-41,1999,1,42600000
11083872-2-43,1993,4,209780000
26581338-2-43,2018,8,25830000
23300576-2-41,2011,230,25940000
18068265-2-41,1995,127,
28990536-2-06,2021,3,42660000
32835155-2-44,2025,193,
19253172-2-43,2020,443,
27532825-2-13,2021,2,30580000
24813064-2-04,2013,18,2604310000
18689792-2-41,2000,4,147610000
32739035-2-13,2025,54,
11951216-2-05,1999,149,5618820000
25716355-2-42,2016,6,834700000
25004582-2-41,2014,12,1790000
15726999-2-07,1990,4,
12697715-2-43,2001,222,3091440000
23477683-2-41,2011,35,23160000
15490768-2-42,1980,440,
19025702-2-44,1989,4899,1902820000
15311605-2-41,1983,1261,
21158218-2-13,2001,1,53080000
10197879-4-44,1986,-,520805000000
14579770-2-43,2008,35,2308310000
26174293-2-41,2017,4,107930000
18457627-2-06,2007,96,1647610000
15735595-2-08,1990,2,
14626009-2-05,2009,,
27059571-2-43,2019,61,9318450000
15598787-2-43,2007,1146,
32521591-2-43,2024,18,419590000
12706552-2-41,2001,70,3473690000
14858480-2-44,2009,328,39284070000
11604873-2-07,1998,134,1687460000
12325283-2-42,1997,1,30580000
18067666-2-41,1995,93,
18237010-2-43,1999,95,
25359882-2-42,2015,29,5278940000
19007225-1-42,1989,58,
13712347-2-41,2006,12,328040000
32001897-2-41,2022,11,953340000
21901913-2-42,2009,4,16740000
27926309-2-41,2020,50,1187220000
25026317-2-41,2014,22,387380000
13853664-2-41,2006,,18940000
32382578-2-43,2023,2,226330000
19050735-2-42,2018,4,28410000
29229158-4-41,2021,,714010000
15735667-2-41,1990,5,
10189377-2-44,1985,409,108701000000
18423121-2-05,2008,36,199850000
48970372-1-39,2024,,300000
12664423-2-43,2001,48,1389850000
32452499-2-41,2023,11,384350000
28755445-2-41,2020,,84830000
15724540-2-03,1990,15,
18593729-1-43,2014,5,670000
14996656-2-03,2009,31,109950000
19001511-2-42,1987,58,124940000
15329138-2-43,1995,53,
18999479-1-09,2018,,
26568179-2-41,2018,4,93800000
26207788-2-41,2017,23,2113850000
59409391-2-22,2022,,8380000
14987043-2-11,2009,18,627420000
10603226-2-44,1991,58,12031820000
15309271-2-41,1983,574,
18245770-1-43,2002,14,
10687583-2-42,1991,28,555050000
10683424-2-09,1991,421,46015550000
18010815-2-41,2010,,
57554660-1-26,2021,,6600000
12183951-2-41,1996,105,5526210000
58120750-2-42,2022,,45050000
24901376-2-06,2014,6,143950000
18941926-1-06,2017,,
12302275-2-42,1997,20,692700000
19294784-4-44,2021,,
18483400-2-07,1995,136,
23097504-2-19,2010,1,290350000
24753283-2-13,2013,12,372460000
23356209-2-41,2011,2,56940000
14004344-2-14,2007,9,124130000
19719483-2-42,1983,219,
23783122-2-43,2011,73,10549530000
10484878-2-44,,6126,721981000000
13670452-2-08,2006,1,95250000
48103424-1-30,1997,,
14190551-2-13,2008,3,223270000
11500030-2-16,1997,4,30330000
13237912-2-19,2004,1645,111752280000
10478701-2-42,1990,119,10814850000
22709776-2-05,2010,24,349230000
19426237-2-41,2025,224,
26579117-2-42,2018,7,219480000
13526391-2-11,2005,19,611190000
10828845-4-42,1993,,4486640000
25033399-2-41,2014,7,157110000
19286639-2-10,2020,105,
23945995-2-16,2011,9,530870000
14651245-2-44,2009,358,46112020000
12142143-2-44,1996,1131,39142940000
25289246-4-17,2015,,
14413591-4-44,2008,,30631000000
19009162-2-43,1989,1,13800000
25730223-2-43,2016,6,468640000
24790561-2-41,2013,33,1866940000
13710840-2-43,2006,,
25134225-2-13,2015,,32240000
27118935-2-43,2019,2,5780000
32899263-2-41,2025,4,
27807903-4-43,2022,,13014280000
21384095-2-42,2002,26,264400000
13729185-2-41,2006,252,10985050000
26495248-2-42,2018,16,378570000
11309482-2-18,1994,108,10124960000
24192509-2-06,2012,3,12470000
14215197-2-41,2008,4,951230000
26253851-1-42,2018,6,2640000
28742838-2-42,2020,138,1062560000
13647940-2-42,2005,14,186050000
25138205-2-43,2014,26,895030000
18002454-2-41,1992,7,3000000
12885316-2-15,2002,12,828060000
68607614-2-33,2017,,22780000
23066506-2-43,2010,6,2800000
24669267-2-41,2013,6,1054510000
32733534-2-41,2025,,
25443279-2-03,2015,2,104380000
10871403-2-43,1993,269,30787940000
27913479-2-41,2020,,7760000
28737504-2-42,2020,1,40270000
10606542-2-02,1991,4,197770000
10875153-2-41,1993,55,1067490000
11072315-2-05,1994,688,4087130000
13754462-2-20,2006,4,62720000
24121158-2-42,2012,1,10270000
11092612-2-06,1994,542,5137660000
14526167-2-07,2008,1,36650000
24364649-2-43,2013,6,533690000
15325770-2-19,1990,128,
24758893-2-06,2013,1,459270000
27856873-2-13,2022,3,39610000
26697763-2-13,2019,,3930000
23374731-2-13,2011,8,623210000
14079665-2-09,2007,7,88080000
23974654-2-43,2012,13,194930000
21974593-2-42,2009,169,2184880000
12483282-2-41,2000,14,781400000
24381383-2-41,2013,13,184320000
24650726-2-09,2013,8,152590000
15309989-2-41,1983,9850,
15724966-2-03,1990,5,
26384571-2-02,2018,27,2484860000
13434566-2-42,2005,,8800000
18000098-1-41,1992,138,
66917807-1-22,2015,,
13394666-2-13,2004,24,1406760000
22636773-2-13,2010,73,2539750000
54336070-2-39,1998,1,26040000
10605125-2-09,1991,570,8261550000
11524128-2-41,1996,22,1132580000
19011929-2-41,1990,34,
25739071-2-42,2016,,339410000
14489662-2-41,2008,18,495580000
15854953-2-42,2025,151,
24091271-2-41,2012,7,297670000
12217595-4-44,1996,,40539000000
25277506-2-04,2015,23,165420000
68311829-1-25,2017,,12430000
10432390-2-42,1990,35,1112590000
18157444-2-43,1997,2,11340000
10628614-2-06,1991,29,2216950000
23089655-2-43,2010,,14820000
18067109-1-41,1994,39,3440000
32082230-2-44,2022,343,379232000000
19308722-2-41,2021,705,
24212267-2-41,2012,1,9840000
11776916-2-43,1998,9,721550000
25307490-2-12,2015,15,441010000
26186311-2-15,2017,19,632980000
19622763-2-42,1990,3,
10928220-2-13,1994,,24990000
32654536-2-41,2024,7,11480000
32461064-2-13,2023,1,1050000
25575251-2-41,2016,16,386950000
67573754-1-30,2016,,3680000
66854054-1-43,2014,,27960000
32896686-2-42,2025,13,
25188420-4-43,2015,,
14108565-2-41,2007,1,87410000
29217937-2-41,2021,,
11903079-2-41,1999,12,327070000
15735612-2-02,1990,6,
10773965-2-43,1992,53,8015530000
23471584-2-43,2011,,62660000
25503160-2-42,2016,13,488160000
27516247-2-43,2021,2,14480000
14372535-2-13,2008,60,3626780000
25181227-2-19,2015,7,712380000
67475515-1-23,2016,,12900000
24178923-2-13,2012,1,63470000
10367027-2-02,1996,36,5231660000
19552622-1-03,2009,30,
25567838-2-43,2016,12,299560000
25910281-2-43,2017,20,617100000
13592084-2-43,2005,230,9183100000
14060148-2-08,2007,21,1294470000
66584263-1-27,2014,,9820000
29205675-2-41,2021,7,251530000
23712348-2-41,2011,6,183640000
11673260-2-41,1998,4,7450000
23702916-2-42,2011,1,39530000
23151358-2-07,2011,3,25560000
26491725-2-18,2018,1,18430000
12052884-2-43,1995,199,13335840000
56565681-1-26,2020,,7360000
29028397-2-13,2021,5,471670000
23382130-2-43,2011,12,629940000
32298820-2-13,2023,3,1109460000
18161777-2-42,1996,77,5500000
69496527-1-40,2019,,4870000
10794177-2-41,1992,32,2756390000
25311565-2-06,2015,555,1123223000000
11996145-2-41,2000,4,189760000
66550073-1-26,2014,,3810000
13611837-2-13,2005,,39280000
23900860-2-42,2012,41,3049830000
12585391-2-03,2000,18,414990000
13851181-2-13,2006,,290170000
25974148-2-43,2017,1,99340000
15394909-2-13,1980,155,
23933097-2-42,2012,44,2989370000
24739810-2-41,2013,,2430000
14479670-2-13,2008,2,489960000
24657936-2-41,2013,8,586990000
14342026-2-43,2008,1,4550000
20344852-2-42,1999,17,1118890000
10317792-2-41,1990,,
27991644-2-04,2020,9,25880000
18155284-2-42,2009,1,4360000
14888229-2-43,2009,22,3749040000
12883974-2-42,2002,91,4656680000
15734374-2-20,1990,7,
18407529-1-42,2013,,
14975097-2-43,2009,,23950000
12744491-2-41,2001,130,4536300000
10733608-2-07,1992,103,6013780000
10356113-4-43,1989,,173980000
10797534-2-43,1992,107,4622480000
13887287-2-02,2007,3,1443430000
10978892-2-43,1994,24,2895410000
65905346-1-31,2012,,2480000
13947446-2-15,2007,48,7215260000
13378370-2-15,2004,35,4941590000
24756437-2-08,2013,75,3351890000
14315754-2-08,2008,7,155740000
19002093-2-41,1988,52,39710000
32694422-4-43,2024,,
15300289-2-41,1983,115,
11886493-2-20,1999,8,929320000
13843483-2-17,2006,,3530000
24836027-2-13,2014,9,210510000
25914979-2-42,2017,,254410000
27288454-2-43,2019,18,1183920000
14578346-2-43,2008,9,514170000
12318847-2-44,1997,267,32499150000
18800489-2-15,2008,162,3481760000
15329190-2-41,1995,138,
13320360-2-41,2004,21,1267830000
10544116-2-41,1991,12,353060000
13402646-2-41,2004,2,31080000
23277407-2-43,2011,76,2777550000
27127957-2-41,2019,12,2794410000
11030953-2-03,1993,140,10371830000
22101594-2-09,2004,18,294220000
27472453-2-42,2021,1,16340000
66447036-2-23,2013,7,1119300000
12730498-2-08,2001,248,6831110000
25145201-2-41,2015,5,278490000
13351344-2-41,2004,41,1964440000
15325275-1-41,1990,,
27900752-2-13,2020,4,507920000
24902724-2-03,2014,20,814860000
26553168-2-02,2018,4,102330000
11138075-2-08,1994,1068,57022640000
25859502-2-41,2016,11,290010000
18905216-2-43,2017,5,
10953253-2-41,1994,44,4427860000
11756114-2-43,1998,17,1039540000
22968223-2-13,2010,94,12280020000
26781466-2-06,2019,,4950000
12257003-2-43,1997,26,756080000
11856661-2-02,1999,6,205150000
26088701-2-07,2017,14,2008650000
15731766-2-15,1990,4,
15308957-2-42,1983,540,
22870708-2-09,1995,27,2455580000
23890833-2-05,2012,6,1069520000
12524286-2-02,2000,13,809590000
